sklearn Coefficients
==================================================
Bias Term      : 0.016498
V1001          : -0.013945
V1002          : -0.015038
V1003          : -0.002807
V1004          : 0.013662
V1005          : -0.020861
V1006          : -0.018991
V1007          : 0.031604
V1008          : 0.081955
V1009          : 0.010248
V1010          : -0.032650
V1011          : -0.001817
V1012          : -0.009667
V1013          : -0.023854
V1014          : -0.005172
V1015          : -0.014885
V1016          : -0.008121
V1017          : -0.000423
V1018          : -0.045980
V1019          : -0.002806
V1020          : -0.022485
V1021          : -0.004134
V1022          : 0.010178
V1023          : 0.012386
V1024          : -0.011701
V1025          : -0.004164
V1026          : -0.008651
V1027          : 0.002546
V1028          : -0.005048
V1029          : -0.065130
V1030          : 0.001537
V1031          : 0.020509
V1032          : -0.010786
V1033          : 0.091542
V1034          : -0.000898
V1035          : 0.025474
V1036          : -0.043317
V1037          : 0.058051
V1038          : 0.006816
V1039          : 0.000567
V1040          : 0.001307
V1041          : -0.061371
V1042          : 0.007511
V1043          : 0.030246
V1044          : -0.018735
V1045          : 0.001351
V1046          : -0.017713
V1047          : 0.035804
V1048          : 0.001535
V1049          : 0.008007
V1050          : 0.002637
V1051          : -0.002388
V1052          : -0.002752
V1053          : 0.004126
V1054          : -0.019730
V1055          : 0.020454
V1056          : -0.011780
V1057          : 0.000534
V1058          : -0.007680
V1059          : -0.020883
V1060          : -0.015105
V1061          : 0.020600
V1062          : 0.007676
V1063          : 0.020030
V1064          : 0.026743
V1065          : 0.032277
V1066          : -0.005921
V1067          : 0.021319
V1068          : 0.071995
V1069          : -0.022424
V1070          : 0.012451
V1071          : -0.000021
V1072          : -0.004694
V1073          : 0.015161
V1074          : -0.011955
V1075          : 0.013558
V1076          : 0.013838
V1077          : -0.013336
V1078          : 0.021186
V1079          : -0.007347
V1080          : -0.016444
V1081          : 0.003613
V1082          : -0.003991
V1083          : -0.001835
V1084          : 0.008519
V1085          : -0.023516
V1086          : 0.006918
V1087          : 0.012213
V1088          : -0.021806
V1089          : -0.001643
V1090          : 0.009463
V1091          : 0.001287
V1092          : 0.009121
V1093          : -0.018631
V1094          : -0.002152
V1095          : -0.003358
V1096          : 0.014976
V1097          : -0.011591
V1098          : -0.006676
V1099          : -0.003018
V1100          : -0.020400
V1101          : 0.011393
V1102          : 0.010564
V1103          : 0.005106
V1104          : -0.007466
V1105          : -0.014413
V1106          : 0.016696
V1107          : -0.021186
V1108          : -0.023600
V1109          : -0.016639
V1110          : -0.010719
V1111          : 0.018702
V1112          : -0.008166
V1113          : 0.003266
V1114          : -0.001754
V1115          : 0.001764
V1116          : -0.024372
V1117          : -0.004484
V1118          : -0.005655
V1119          : 0.007110
V1120          : 0.007021
V1121          : 0.031092
V1122          : 0.013991
V1123          : 0.022471
V1124          : 0.012211
V1125          : -0.026701
V1126          : -0.003926
V1127          : 0.007404
V1128          : 0.016333
V1129          : 0.019471
V1130          : 0.015293
V1131          : 0.002310
V1132          : -0.004390
V1133          : 0.005192
V1134          : 0.008240
V1135          : 0.008721
V1136          : 0.013108
V1137          : 0.028489
V1138          : 0.005672
V1139          : -0.012923
V1140          : 0.039740
V1141          : 0.003156
V1142          : 0.004865
V1143          : -0.002204
V1144          : -0.024176
V1145          : -0.029455
V1146          : 0.002301
V1147          : -0.013954
V1148          : 0.018457
V1149          : 0.040861
V1150          : 0.015128
V1151          : -0.007751
V1152          : 0.002760
V1153          : 0.010969
V1154          : 0.000089
V1155          : 0.002830
V1156          : -0.012876
V1157          : 0.008004
V1158          : 0.000249
V1159          : -0.008249
V1160          : -0.016465
V1161          : -0.082942
V1162          : -0.009259
V1163          : 0.011772
V1164          : -0.016869
V1165          : -0.010873
V1166          : -0.004985
V1167          : 0.012701
V1168          : -0.020689
V1169          : 0.011195
V1170          : 0.019790
V1171          : 0.003482
V1172          : -0.026976
V1173          : -0.009280
V1174          : -0.025958
V1175          : -0.014685
V1176          : -0.004584
V1177          : 0.003485
V1178          : -0.006676
V1179          : -0.001531
V1180          : -0.023504
V1181          : -0.013052
V1182          : -0.012997
V1183          : 0.014742
V1184          : 0.009731
V1185          : -0.017144
V1186          : 0.003282
V1187          : 0.020483
V1188          : 0.006827
V1189          : 0.001933
V1190          : 0.001370
V1191          : -0.008549
V1192          : -0.008120
V1193          : 0.031466
V1194          : 0.002388
V1195          : 0.008545
V1196          : -0.020616
V1197          : -0.016428
V1198          : 0.002470
V1199          : 0.006463
V1200          : -0.000936
V1201          : -0.018180
V1202          : -0.021397
V1203          : 0.004987
V1204          : -0.006305
V1205          : -0.033955
V1206          : -0.000400
V1207          : 0.005165
V1208          : 0.027783
V1209          : 0.009226
V1210          : 0.004763
V1211          : 0.005968
V1212          : 0.006746
V1213          : 0.000346
V1214          : -0.012201
V1215          : -0.018932
V1216          : 0.010206
V1217          : 0.023792
V1218          : 0.015090
V1219          : 0.014100
V1220          : -0.017327
V1221          : -0.006975
V1222          : -0.001613
V1223          : -0.013706
V1224          : -0.015478
V1225          : 0.004967
V1226          : 0.022892
V1227          : -0.003951
V1228          : 0.014845
V1229          : -0.009450
V1230          : -0.006140
V1231          : 0.004825
V1232          : 0.005298
V1233          : -0.007376
V1234          : 0.010640
V1235          : -0.005289
V1236          : 0.017343
V1237          : -0.003770
V1238          : 0.008819
V1239          : 0.016461
V1240          : 0.007885
V1241          : 0.015573
V1242          : 0.054795
V1243          : -0.012075
V1244          : -0.029095
V1245          : -0.011570
V1246          : 0.022196
V1247          : -0.008943
V1248          : 0.008591
V1249          : 0.010395
V1250          : -0.001242
V1251          : -0.014399
V1252          : -0.024448
V1253          : -0.014265
V1254          : -0.008225
V1255          : 0.018755
V1256          : -0.001018
V1257          : -0.004538
V1258          : 0.005661
V1259          : 0.012286
V1260          : -0.001041
V1261          : 0.003679
V1262          : -0.005083
V1263          : 0.005579
V1264          : 0.009820
V1265          : -0.001352
V1266          : 0.014291
V1267          : 0.009842
V1268          : -0.012861
V1269          : -0.011986
V1270          : -0.028702
V1271          : 0.011033
V1272          : -0.027069
V1273          : 0.005774
V1274          : -0.002062
V1275          : 0.001799
V1276          : -0.007653
V1277          : -0.003866
V1278          : 0.002414
V1279          : 0.002974
V1280          : 0.004592
V1281          : -0.020577
V1282          : -0.001804
V1283          : 0.002136
V1284          : -0.002069
V1285          : -0.005334
V1286          : 0.011178
V1287          : -0.035786
V1288          : -0.017143
V1289          : -0.019699
V1290          : -0.002686
V1291          : -0.010314
V1292          : -0.018205
V1293          : 0.001823
V1294          : -0.012153
V1295          : -0.001875
V1296          : 0.010194
V1297          : -0.021132
V1298          : 0.013377
V1299          : 0.024158
V1300          : 0.004207
V1302          : -0.007525
V1303          : 0.002465
V1304          : 0.009025
V1305          : 0.007676
V1306          : 0.008666
V1308          : -0.004844
V1309          : -0.018137
V1310          : 0.007380
V1311          : 0.019974
V1312          : -0.006466
V1313          : -0.001508
V1314          : 0.028080
V1315          : -0.026502
V1316          : -0.030248
V1317          : 0.000587
V1318          : 0.004629
V1319          : 0.013517
V1320          : 0.011618
V1321          : 0.004424
V1322          : -0.002856
V1323          : 0.010877
V1324          : -0.002967
V1325          : 0.008253
V1326          : -0.020166
V1327          : 0.001152
V1328          : -0.010152
V1329          : -0.005361
V1330          : 0.009968
V1331          : 0.006716
V1332          : -0.000147
V1333          : -0.047270
V1334          : 0.015566
V1335          : -0.002487
V1336          : -0.012790
V1337          : 0.024609
V1338          : 0.016439
V1339          : -0.014858
V1340          : -0.030125
V1341          : -0.003035
V1342          : 0.021067
V1343          : 0.002707
V1344          : 0.006380
V1345          : -0.007392
V1346          : -0.012576
V1347          : -0.028799
V1348          : 0.017155
V1349          : -0.010854
V1350          : -0.009761
V1351          : -0.032854
V1352          : -0.003951
V1353          : -0.012845
V1354          : -0.003729
V1355          : 0.007166
V1356          : 0.003560
V1357          : -0.004208
V1358          : -0.007363
