custom_lambda_0.0001 Coefficients
==================================================
Bias Term      : 0.007774
V1251          : 0.008742
V1252          : 0.000947
V1253          : -0.007381
V1254          : -0.004572
V1255          : -0.014241
V1256          : 0.005105
V1257          : 0.006164
V1258          : 0.004547
V1259          : -0.005929
V1260          : 0.004805
V1261          : -0.004400
V1262          : 0.005809
V1263          : -0.002875
V1264          : -0.006974
V1265          : 0.008635
V1266          : -0.012960
V1267          : -0.003673
V1268          : 0.010214
V1269          : 0.000558
V1270          : -0.013192
V1271          : 0.002363
V1272          : -0.004570
V1273          : -0.009897
V1274          : -0.007383
V1275          : 0.009340
V1276          : 0.006101
V1277          : -0.007856
V1278          : -0.002231
V1279          : -0.009169
V1280          : -0.011536
V1281          : 0.002458
V1282          : -0.012775
V1283          : 0.004922
V1284          : 0.012771
V1285          : -0.006811
V1286          : -0.008729
V1287          : -0.005937
V1288          : -0.015403
V1289          : -0.008737
V1290          : -0.002183
V1291          : -0.007569
V1292          : -0.008176
V1293          : -0.019680
V1294          : 0.013568
V1295          : -0.005239
V1296          : -0.004455
V1297          : 0.001955
V1298          : -0.011257
V1299          : 0.016815
V1300          : -0.001672
V1302          : 0.000507
V1303          : 0.008129
V1304          : -0.007800
V1305          : -0.006063
V1306          : -0.006589
V1308          : 0.010288
V1309          : -0.006279
V1310          : 0.002908
V1311          : -0.006222
V1312          : 0.000511
V1313          : 0.005900
V1314          : -0.006918
V1315          : 0.010068
V1316          : 0.000551
V1317          : 0.002873
V1318          : -0.012332
V1319          : 0.015051
V1320          : -0.004587
V1321          : -0.005537
V1322          : -0.002641
V1323          : -0.008259
V1324          : -0.006760
V1325          : -0.005373
V1326          : -0.005980
V1327          : -0.011263
V1328          : 0.002921
V1329          : 0.004090
V1330          : -0.011739
V1331          : -0.003914
V1332          : 0.007715
V1333          : 0.004855
V1334          : -0.003140
V1335          : 0.009337
V1336          : -0.005490
V1337          : -0.015211
V1338          : -0.003183
V1339          : 0.008172
V1340          : -0.008191
V1341          : -0.009643
V1342          : -0.008617
V1343          : -0.004477
V1344          : 0.000273
V1345          : 0.019892
V1346          : -0.002187
V1347          : -0.008906
V1348          : -0.012210
V1349          : 0.010242
V1350          : 0.007209
V1351          : -0.014655
V1352          : -0.007934
V1353          : 0.006657
V1354          : -0.012304
